"","ID","linear.f0","linear.f0.se","linear.f0.p","linear.C0","linear.AIC","linear.AICc","linear.RSE","linear.r","linear.diagnostics"
"1","2021-03-16_CA01_A1",-9.34296457161054,6.31193297702425,0.139792839170606,1.54357480513109,-1250.68854609597,-1250.61377974083,0.0351117622557418,-0.0820829690218017,""
"2","2021-03-16_CA01_B1",6.00883887941105,0.301447499407966,1.22179501730272e-54,1.53242706789316,-2817.80998751519,-2817.71873276234,0.00122696357308292,0.774532674223575,""
"3","2021-03-16_CA01_C1",3.19545926213118,0.198363114516059,1.23446990314945e-43,1.52682777185848,-3609.13866299176,-3609.06659091969,0.00113665044347156,0.660685580526756,""
"4","2021-03-16_CA01_D1",2.47111402028299,0.236837860247006,2.80060506120018e-22,1.52720728049673,-3518.59217836873,-3518.5207497973,0.00136143979851128,0.493576064135308,""
"5","2021-03-16_CA01_E1",7.91433119545301,0.103420855500527,5.81742614624054e-216,1.5254783807989,-4092.79914641734,-4092.72792980013,0.000595584804056617,0.972254994806833,""
"6","2021-03-16_CA01_R1",-5.71021982339188,0.334036918202205,2.69714292584103e-47,1.53482231910902,-3599.61516928052,-3599.54154964862,0.00102922179930597,-0.68641043654992,""
"7","2021-03-16_CA01_R2",-12.6057762126964,5.18238831753543,0.0155291938002089,1.54137826077638,-1902.92042922829,-1902.84725849658,0.0136939994221973,-0.132716171819257,""
"8","2021-03-16_CA01_R3",1.21033499161092,0.377504535179476,0.00147606472224126,1.53640708034269,-3652.09386174392,-3652.02113447119,0.00101575415050271,0.17329779975854,""
"9","2021-03-16_CA01_R4",-4.12670649889487,0.221862742318458,1.23940194780565e-53,1.5254120877238,-4095.40162106362,-4095.32997927258,0.000572644832204933,-0.711735125126386,""
"10","2021-03-16_CA01_R5",-4.72727962355621,0.162029363483868,2.38607763005967e-94,1.52525494094823,-4173.3667962454,-4173.29536767397,0.000519774074102954,-0.846036026872656,""
"11","2021-03-16_CA02_A1",-0.87650247261033,0.480337682909087,0.0689603597701522,1.59419292545513,-2917.94073360943,-2917.86596725429,0.00270075892252821,-0.1010132038321,""
"12","2021-03-16_CA02_B1",1.32837956852728,0.253212534360072,2.8122616149142e-07,1.57439586950036,-3343.26549135778,-3343.19095719628,0.00142615700233536,0.279808541298878,""
"13","2021-03-16_CA02_C1",-0.487372023998051,0.243812487233255,0.0464223756952199,1.55173460762568,-3459.06543222389,-3458.99314306726,0.0013985758374389,-0.108729894510601,""
"14","2021-03-16_CA02_D1",2.49497349107538,0.0890756507658386,2.45735948361785e-89,1.53195606721903,-4103.30684331026,-4103.233894982,0.000507478165680387,0.838619177714055,""
"15","2021-03-16_CA02_E1",4.01519545550947,0.317158596920558,3.39036770496808e-30,1.53933784377757,-3241.61588084327,-3241.54248634786,0.00179693581198974,0.572340622397037,""
"16","2021-03-16_CA02_F1",3.36453306935324,0.124578388184224,8.61161083163251e-86,1.52484895653481,-3888.69876839057,-3888.62604111785,0.000712790578844174,0.828978165962784,""
"17","2021-03-16_CA02_R1",-22.2435246023525,0.295600717500241,5.71539574316647e-209,1.56825243973684,-3583.77795705016,-3583.70433741826,0.00105421747107945,-0.972237220840981,""
